msn;reg;hex_code;deliv;exit;type_text;type_code;airline;airline_country;airline_type;operator;operator_country;MTOW;MZFW;MZFW_Range;MZFW_Payload;MZFW_Fuel;MFW;MFW_Range;MFW_Payload;MFM_Fuel;OEW;OEW_Range;OEW_Payload;OEW_Fuel;Volume;Category;v_max;k_m;contact;num_last_flights;a_margin;b_margin;c_margin;d_margin;current_location_lat;current_location_long;virtual_base_lat;virtual_base_long;acmi_h;charter_focus;fuel_price_kg;co2_price_kg
30704;TS-ICD;;2022-04-28 00:00:00;;Boeing 737-800 (F);B738;Express Air Cargo;Tunisia;Cargo;Express Air Cargo;Tunisia;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;786.0025363418814;191.8604573783039;https://express-aircargo.com/en/;25;200.0;5.0;-0.65;17.0;36.8510017395;10.2271995544;36.95313641484978;5.9295307052563615;2830.739355341168;1;0.65461;0.10112
30786;B-5156;;2019-08-08 00:00:00;;Boeing 737-800 (BCF);B738;China Postal Airlines;China;Cargo;China Postal Airlines;China;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://en.wikipedia.org/wiki/China_Postal_Airlines;25;200.0;5.0;-0.65;17.0;31.1434001923;121.8050003052;33.36892199878771;129.64213781284406;2830.739355341168;1;0.65461;0.10112
30787;B-5157;;2019-09-07 00:00:00;;Boeing 737-800 (BCF);B738;China Postal Airlines;China;Cargo;China Postal Airlines;China;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://en.wikipedia.org/wiki/China_Postal_Airlines;25;200.0;5.0;-0.65;17.0;34.5196990967;113.841003418;33.61421065279279;113.87645595698359;2830.739355341168;1;0.65461;0.10112
30806;F-HIQG;;2023-05-04 00:00:00;;Boeing 737-800 (BCF);B738;ASL Airlines France;France;Cargo;ASL Airlines France;France;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.aslairlines.fr/en/;25;200.0;5.0;-0.65;17.0;55.6179008484;12.6560001373;54.09665576364871;12.30670150220121;2830.739355341168;1;0.65461;0.10112
30877;EI-AZC;;2021-11-16 00:00:00;;Boeing 737-800 (SF);B738;Amazon Air;United States;Cargo;ASL Airlines;Ireland;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;748.7643206635801;176.3547379365939;https://www.aslaviationholdings.com/companies/asl-airlines-ireland/;25;200.0;5.0;-0.65;17.0;45.6305999756;8.7281103134;44.641374898616334;2.5421656617472;2830.739355341168;1;0.65461;0.10112
30878;N708MB;;2022-11-16 00:00:00;;Boeing 737-800 (SF);B738;iAero Airways;United States;Cargo;iAero Airways;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;748.7643206635801;176.3547379365939;https://iaerogroup.com/iaero-airways/;25;200.0;5.0;-0.65;17.0;33.9424963888889;-118.408048611111;34.90686559996323;-111.25128788104267;2830.739355341168;1;0.65461;0.10112
30883;LZ-CGD;;2023-02-10 00:00:00;;Boeing 737-800 (BCF);B738;Cargo Air;Bulgaria;Cargo;Cargo Air;Bulgaria;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://cargoair.bg;25;200.0;5.0;-0.65;17.0;44.5722007751;26.1021995544;47.463907216722774;20.62656784383702;2830.739355341168;1;0.65461;0.10112
32277;TF-BBT;;2022-09-15 00:00:00;;Boeing 737-800 (SF);B738;Bluebird Nordic;Iceland;Cargo;Bluebird Nordic;Iceland;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;748.7643206635801;176.3547379365939;https://bluebird.is;25;200.0;5.0;-0.65;17.0;51.4323997498;12.2416000366;51.6549885675167;16.071704549084856;2830.739355341168;1;0.65461;0.10112
32278;EC-NXU;;2022-07-29 00:00:00;;Boeing 737-800 (F);B738;DHL;Germany;Cargo;Swiftair;Spain;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;786.0025363418814;191.8604573783039;https://www.swiftair.com;25;200.0;5.0;-0.65;17.0;42.8963012695;-8.415140152;44.54416493941768;-1.9504019004328064;2830.739355341168;1;0.65461;0.10112
32348;N5261A;;2020-04-22 00:00:00;;Boeing 737-800 (BCF);B738;Amazon Air;United States;Cargo;Sun Country Airlines;United States;79016.0;62732.0;4259.0;21319.0;16284.0;58122.0;8334.0;16709.0;20894.0;41413.0;10649.0;0.0;20894.0;185.0;6.0;779.5692387486687;187.0349077539911;https://www.suncountry.com;25;200.0;5.0;-0.65;17.0;39.0488375;-84.6678208333333;37.0879032158576;-92.64047863991883;2830.739355341168;1;0.65461;0.10112
